File,Contains tip,Conf of max conf box,Area of max conf box,Tip inside highest prediction,Tip inside any prediction,Prediction on empty image
BG_AC_p1_crop_12.png,False,0,0,nan,nan,True
BG_AC_p1_crop_13.png,False,0,0,nan,nan,True
BG_AC_p1_crop_colch_8.png,False,0,0,nan,nan,True
BG_AC_p1_crop_colch_9.png,False,0,0,nan,nan,True
BG_AC_p1_crop_hf_11.png,False,0,0,nan,nan,True
BG_AC_p1_crop_hf_12.png,False,0,0,nan,nan,True
BG_AC_p1_crop_hf_13.png,False,0,0,nan,nan,True
BG_AC_p1_crop_hf_colch_12.png,False,0,0,nan,nan,True
BG_AC_p1_crop_hf_colch_13.png,False,0,0,nan,nan,True
BG_AC_p1_crop_hf_vf_1.png,False,0.75597674,442.10162,nan,nan,True
BG_AC_p1_crop_hf_vf_10.png,False,0,0,nan,nan,True
BG_AC_p1_crop_hf_vf_3.png,False,0,0,nan,nan,True
BG_AC_p1_crop_hf_vf_colch_1.png,False,0.5622956,425.25873,nan,nan,True
BG_AC_p1_crop_hf_vf_colch_2.png,False,0,0,nan,nan,True
BG_AC_p1_crop_hf_vf_colch_3.png,False,0,0,nan,nan,True
BG_AC_p1_crop_hf_vf_rot90_2.png,False,0,0,nan,nan,True
BG_AC_p1_crop_hf_vf_rot90_3.png,False,0,0,nan,nan,True
BG_AC_p1_crop_hf_vf_rot90_colch_4.png,False,0,0,nan,nan,True
BG_AC_p1_crop_hf_vf_rot90_colch_5.png,False,0,0,nan,nan,True
BG_AC_p1_crop_hf_vf_saferot_10.png,False,0,0,nan,nan,True
BG_AC_p1_crop_hf_vf_saferot_11.png,False,0,0,nan,nan,True
BG_AC_p1_crop_hf_vf_saferot_colch_4.png,False,0,0,nan,nan,True
BG_AC_p1_crop_hf_vf_saferot_colch_6.png,False,0,0,nan,nan,True
BG_AC_p1_crop_hf_vf_saferot_colch_7.png,False,0,0,nan,nan,True
BG_AC_p5_crop_hf_vf_colch_18.png,False,0,0,nan,nan,True
BG_AC_p5_crop_hf_vf_colch_19.png,False,0,0,nan,nan,True
BG_AC_p5_crop_hf_vf_rot90_18.png,False,0,0,nan,nan,True
BG_AC_p5_crop_hf_vf_rot90_19.png,False,0,0,nan,nan,True
BG_GW_p4_crop_34.png,False,0,0,nan,nan,True
BG_GW_p4_crop_35.png,False,0.26360995,439.2943,nan,nan,True
BG_GW_p4_crop_colch_38.png,False,0,0,nan,nan,True
BG_GW_p4_crop_hf_36.png,False,0,0,nan,nan,True
BG_GW_p4_crop_hf_vf_saferot_colch_38.png,False,0,0,nan,nan,True
BG_PC_p1_crop_52.png,False,0,0,nan,nan,True
BG_PC_p1_crop_53.png,False,0,0,nan,nan,True
BG_PC_p1_crop_hf_vf_saferot_53.png,False,0,0,nan,nan,True
BG_PC_p1_crop_hf_vf_saferot_colch_50.png,False,0,0,nan,nan,True
BG_PC_p2_crop_hf_colch_25.png,False,0,0,nan,nan,True
BG_PC_p2_crop_hf_colch_26.png,False,0,0,nan,nan,True
BG_PC_p5_crop_hf_2.png,False,0,0,nan,nan,True
BG_PC_p5_crop_hf_vf_2.png,False,0,0,nan,nan,True
BG_PC_p5_crop_hf_vf_3.png,False,0.53494656,148.658,nan,nan,True
BG_PC_p5_crop_hf_vf_rot90_2.png,False,0,0,nan,nan,True
BG_SR_p1_crop_hf_104.png,False,0,0,nan,nan,True
BG_SR_p1_crop_hf_105.png,False,0,0,nan,nan,True
BG_SR_p1_crop_hf_colch_1.png,False,0,0,nan,nan,True
BG_SR_p1_crop_hf_vf_rot90_colch_1.png,False,0,0,nan,nan,True
BG_SR_p1_crop_hf_vf_rot90_colch_101.png,False,0,0,nan,nan,True
BG_SR_p1_crop_hf_vf_rot90_colch_102.png,False,0,0,nan,nan,True
BG_SR_p1_crop_hf_vf_rot90_colch_75.png,False,0,0,nan,nan,True
BG_SR_p1_crop_hf_vf_rot90_colch_76.png,False,0,0,nan,nan,True
BG_SR_p2_crop_42.png,False,0,0,nan,nan,True
BG_SR_p2_crop_43.png,False,0,0,nan,nan,True
BG_SR_p2_crop_colch_42.png,False,0,0,nan,nan,True
BG_SR_p2_crop_colch_43.png,False,0,0,nan,nan,True
BG_SR_p3_crop_38.png,False,0,0,nan,nan,True
BG_SR_p3_crop_39.png,False,0,0,nan,nan,True
BG_SR_p3_crop_colch_44.png,False,0,0,nan,nan,True
BG_SR_p3_crop_colch_45.png,False,0,0,nan,nan,True
BG_SR_p3_crop_colch_50.png,False,0,0,nan,nan,True
BG_SR_p3_crop_hf_40.png,False,0,0,nan,nan,True
BG_SR_p3_crop_hf_41.png,False,0,0,nan,nan,True
BG_SR_p3_crop_hf_vf_40.png,False,0,0,nan,nan,True
BG_SR_p3_crop_hf_vf_41.png,False,0,0,nan,nan,True
BG_SR_p3_crop_hf_vf_42.png,False,0,0,nan,nan,True
BG_SR_p3_crop_hf_vf_colch_48.png,False,0,0,nan,nan,True
BG_SR_p3_crop_hf_vf_colch_49.png,False,0,0,nan,nan,True
BG_SR_p3_crop_hf_vf_rot90_48.png,False,0,0,nan,nan,True
BG_SR_p3_crop_hf_vf_rot90_49.png,False,0,0,nan,nan,True
BG_SR_p3_crop_hf_vf_rot90_colch_42.png,False,0,0,nan,nan,True
BG_SR_p3_crop_hf_vf_rot90_colch_43.png,False,0,0,nan,nan,True
BG_SR_p3_crop_hf_vf_saferot_48.png,False,0,0,nan,nan,True
BG_SR_p3_crop_hf_vf_saferot_49.png,False,0,0,nan,nan,True
BG_SR_p3_crop_hf_vf_saferot_colch_38.png,False,0,0,nan,nan,True
BG_SR_p3_crop_hf_vf_saferot_colch_39.png,False,0,0,nan,nan,True
BG_SR_p4_crop_34.png,False,0,0,nan,nan,True
BG_SR_p4_crop_colch_30.png,False,0,0,nan,nan,True
BG_SR_p4_crop_hf_30.png,False,0,0,nan,nan,True
BG_SR_p4_crop_hf_31.png,False,0,0,nan,nan,True
BG_SR_p4_crop_hf_vf_34.png,False,0,0,nan,nan,True
BG_SR_p4_crop_hf_vf_colch_29.png,False,0,0,nan,nan,True
BG_SR_p4_crop_hf_vf_rot90_29.png,False,0,0,nan,nan,True
BG_SR_p4_crop_hf_vf_saferot_colch_32.png,False,0,0,nan,nan,True
BG_SR_p4_crop_hf_vf_saferot_colch_33.png,False,0,0,nan,nan,True
BG_SR_p5_crop_28.png,False,0,0,nan,nan,True
BG_SR_p5_crop_hf_colch_26.png,False,0,0,nan,nan,True
BG_SR_p5_crop_hf_colch_27.png,False,0,0,nan,nan,True
BG_SR_p5_crop_hf_vf_26.png,False,0,0,nan,nan,True
BG_SR_p5_crop_hf_vf_27.png,False,0,0,nan,nan,True
BG_SR_p5_crop_hf_vf_saferot_26.png,False,0,0,nan,nan,True
BG_SR_p5_crop_hf_vf_saferot_27.png,False,0,0,nan,nan,True
GW_p2_og_10.png,True,0.87144184,438.16205,True,True,nan
GW_p2_og_11.png,True,0.86526746,445.75214,False,False,nan
GW_p2_og_12.png,True,0.857715,439.38828,True,True,nan
GW_p2_og_13.png,True,0.86813617,432.28815,True,True,nan
GW_p2_og_14.png,True,0.8838983,434.81824,True,True,nan
GW_p2_og_15.png,True,0.87027884,445.2615,True,True,nan
GW_p2_og_16.png,True,0.8726737,446.23563,True,True,nan
GW_p2_og_17.png,True,0.86926043,442.33173,True,True,nan
GW_p2_og_18.png,True,0.8401659,434.0849,False,False,nan
GW_p2_og_19.png,True,0.85102564,445.23724,True,True,nan
GW_p2_og_2.png,True,0.8500986,447.1186,True,True,nan
GW_p2_og_20.png,True,0.8621831,444.01108,True,True,nan
GW_p2_og_21.png,True,0.8529688,445.09634,True,True,nan
GW_p2_og_22.png,True,0.80669963,446.1963,False,False,nan
GW_p2_og_23.png,True,0.8199549,442.25024,True,True,nan
GW_p2_og_24.png,True,0.637467,340.79565,True,True,nan
GW_p2_og_3.png,True,0.8482177,445.9912,True,True,nan
GW_p2_og_4.png,True,0.86246127,443.83066,True,True,nan
GW_p2_og_5.png,True,0.88471895,452.1206,True,True,nan
GW_p2_og_6.png,True,0.85968363,457.44315,True,True,nan
GW_p2_og_7.png,True,0.86559683,441.46658,True,True,nan
GW_p2_og_8.png,True,0.8657636,433.1509,True,True,nan
GW_p2_og_9.png,True,0.85525805,447.7416,True,True,nan
GW_p2_og_colch_10.png,True,0.8169309,455.39987,True,True,nan
GW_p2_og_colch_11.png,True,0.76553094,453.6855,False,False,nan
GW_p2_og_colch_12.png,True,0.85138845,446.349,True,True,nan
GW_p2_og_colch_13.png,True,0.8450938,446.1117,True,True,nan
GW_p2_og_colch_14.png,True,0.8624413,440.73404,True,True,nan
GW_p2_og_colch_15.png,True,0.8240065,462.04257,False,False,nan
GW_p2_og_colch_16.png,True,0.85344845,439.0109,True,True,nan
GW_p2_og_colch_17.png,True,0.85702616,451.00836,True,True,nan
GW_p2_og_colch_18.png,True,0.8261142,450.5379,False,False,nan
GW_p2_og_colch_19.png,True,0.77605313,453.94153,True,True,nan
GW_p2_og_colch_2.png,True,0.83607125,445.92365,True,True,nan
GW_p2_og_colch_20.png,True,0.5048947,437.26736,True,True,nan
